time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264452.65661597,0.01718707,13732,0.00269521,0.00000000,0,0.00000000,67565,67679,600,0.00251616
1742264452.75652504,0.01715019,13743,0.00259955,0.00000000,0,0.00000000,67679,67753,630,0.00243069
1742264452.85669708,0.01652139,13739,0.00164952,0.00000000,0,0.00000000,67753,67928,508,0.00250282
1742264452.95651889,0.01858280,13749,0.00261571,0.00000000,0,0.00000000,67928,68157,729,0.00248487
1742264453.05643010,0.01473104,13749,0.00112555,0.00000000,0,0.00000000,68157,68173,286,0.00254238
1742264453.15635490,0.02360039,13750,0.00256531,0.00000000,0,0.00000000,68173,68435,745,0.00257711
1742264453.25605392,0.02053333,13750,0.00154161,0.00000000,0,0.00000000,68435,68508,330,0.00246251
1742264453.35602188,0.02328679,13672,0.00268779,0.00000000,0,0.00000000,68508,68643,699,0.00252801
1742264453.45593095,0.02336954,13721,0.00254605,0.00000000,0,0.00000000,68643,68757,575,0.00251299
1742264453.55674291,0.02035203,13721,0.00128093,0.00000000,0,0.00000000,68757,68798,306,0.00253860
1742264453.65682602,0.02329445,13645,0.00305223,0.00000000,0,0.00000000,68798,69006,767,0.00242502
1742264453.75678897,0.02175059,13666,0.00214748,0.00000000,0,0.00000000,69006,69176,587,0.00247181
1742264453.85693002,0.01662775,13627,0.00231860,0.00000000,0,0.00000000,69176,69242,657,0.00277074
1742264453.95584202,0.01957429,13644,0.00283778,0.00000000,0,0.00000000,69242,69556,751,0.00248605
1742264454.05653501,0.01653909,13635,0.00220649,0.00000000,0,0.00000000,69556,69707,635,0.00248467
1742264454.15614200,0.01691481,13661,0.00227565,0.00000000,0,0.00000000,69707,69861,590,0.00243157
1742264454.25645995,0.02134664,13678,0.00267756,0.00000000,0,0.00000000,69861,70090,765,0.00250924
1742264454.35610795,0.01847664,13648,0.00213306,0.00000000,0,0.00000000,70090,70291,623,0.00251832
1742264454.45630693,0.01862825,13650,0.00259959,0.00000000,0,0.00000000,70291,70476,731,0.00263854
1742264454.55601692,0.01777488,13659,0.00169567,0.00000000,0,0.00000000,70476,70679,519,0.00251370
1742264454.65658593,0.01818818,13657,0.00199796,0.00000000,0,0.00000000,70679,70759,567,0.00246182
1742264454.75648499,0.01806180,13672,0.00215908,0.00000000,0,0.00000000,70759,70910,605,0.00249573
1742264454.85609603,0.01505008,13672,0.00145098,0.00000000,0,0.00000000,70910,71010,290,0.00251104
1742264454.95627499,0.01979319,13678,0.00223398,0.00000000,0,0.00000000,71010,71106,632,0.00247798
